Title,First Name,Date
Island Girl,Elton,1975-11-08
Fame,David,1975-09-27
I'm Sorry,John,1975-09-20
Rhinestone Cowboy,Glen,1975-09-06
Get Down Tonight,KC,1975-08-23
Fallin' In Love,"Hamilton,",1975-08-16
Jive Talkin',Bee,1975-08-09
One Of These Nights,Eagles,1975-07-26
The Hustle,Van,1975-07-19
Listen To What The Man Said,Wings,1975-07-12
Love Will Keep Us Together,Captain,1975-07-05
Sister Golden Hair,America,1975-06-07
Thank God I'm A Country Boy,John,1975-05-31
Before The Next Teardrop Falls,Freddy,1975-05-24
Shining Star,"Earth,",1975-05-17
He Don't Love You (Like I Love You),Tony,1975-05-10
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J.,1975-04-19
Philadelphia Freedom,The,1975-04-12
Lovin' You,Minnie,1975-03-29
My Eyes Adored You,Frankie,1975-03-15
Black Water,The,1975-03-08
Have You Never Been Mellow,Olivia,1975-03-01
Pick Up The Pieces,AWB,1975-02-15
You're No Good,Linda,1975-02-08
Fire,Ohio,1975-02-01
Laughter In The Rain,Neil,1975-01-25
Please Mr. Postman,Carpenters,1975-01-18
Mandy,Barry,1975-01-11
Lucy In The Sky With Diamonds,Elton,1975-01-04
Angie Baby,Helen,1974-12-21
Cat's In The Cradle,Harry,1974-12-14
Kung Fu Fighting,Carl,1974-12-07
I Can Help,Billy,1974-11-23
Whatever Gets You Thru The Night,John,1974-11-09
You Ain't Seen Nothing Yet/Free Wheelin',Bachman-Turner,1974-11-02
You Haven't Done Nothin,Stevie,1974-10-26
Then Came You,Dionne,1974-10-19
Nothing From Nothing,Billy,1974-10-12
I Honestly Love You,Olivia,1974-10-05
Rock Me Gently,Andy,1974-09-21
"Can't Get Enough Of Your Love, Babe",Barry,1974-09-14
I Shot The Sheriff,Eric,1974-09-07
(You're) Having My Baby,Paul,1974-08-31
The Night Chicago Died,Paper,1974-08-10
Feel Like Makin' Love,Roberta,1974-08-03
ANNIE's SONG,John,1974-07-27
Rock Your Baby,George,1974-07-13
Rock The Boat,The,1974-06-29
Sundown,Gordon,1974-06-22
"Billy, Don't Be A Hero",Bo,1974-06-15
Band On The Run,Paul,1974-06-01
The Streak,Ray,1974-05-25
The Loco-Motion,Grand,1974-05-04
TSOP (The Sound Of Philadelphia),MFSB,1974-04-20
Bennie And The Jets,Elton,1974-04-06
Hooked On A Feeling,Blue,1974-03-30
Sunshine On My Shoulders,John,1974-03-23
Dark Lady,Cher,1974-03-16
Seasons In The Sun,Terry,1974-03-09
The Way We Were,Barbra,1974-02-16
Love's Theme,Love,1974-02-02
You're Sixteen,Ringo,1974-01-19
Show And Tell,Al,1974-01-12
The Joker,The,1974-01-05
Time In A Bottle,Jim,1973-12-29
The Most Beautiful Girl,Charlie,1973-12-15
Top Of The World,Carpenters,1973-12-01
Photograph,Ringo,1973-11-17
Keep On Truckin' (Part 1),Eddie,1973-11-10
Midnight Train To Georgia,Gladys,1973-10-27
Angie,The,1973-10-13
Half-Breed,Cher,1973-10-06
We're An American Band,Grand,1973-09-22
Let's Get It On,Marvin,1973-09-15
Delta Dawn,Helen,1973-09-08
Brother Louie,Stories,1973-08-25
Touch Me In The Morning,Diana,1973-08-11
The Morning After,Maureen,1973-08-04
"Bad, Bad Leroy Brown",Jim,1973-07-21
Will It Go Round In Circles,Billy,1973-07-07
Give Me Love - (Give Me Peace On Earth),George,1973-06-23
Frankenstein,Edgar,1973-05-19
You Are The Sunshine Of My Life,Stevie,1973-05-12
Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn,1973-05-05
The Night The Lights Went Out In Georgia,Vicki,1973-04-07
Killing Me Softly With His Song,Roberta,1973-03-24
Love Train,The,1973-03-17
Crocodile Rock,Elton,1973-02-10
Superstition,Stevie,1973-01-20
You're So Vain,Carly,1973-01-13
Me And Mrs. Jones,Billy,1972-12-23
I Am Woman,Helen,1972-12-02
Papa Was A Rollin' Stone,The,1972-11-25
I Can See Clearly Now,Johnny,1972-11-18
My Ding-A-Ling,Chuck,1972-10-21
Ben,Michael,1972-10-07
Baby Don't Get Hooked On Me,Mac,1972-09-30
Black & White,Three,1972-09-09
Alone Again (Naturally),Gilbert,1972-09-02
Brandy (You're A Fine Girl),Looking,1972-08-19
Song Sung Blue,Neil,1972-06-24
The Candy Man,Sammy,1972-06-17
I'll Take You There,The,1972-05-27
Oh Girl,The,1972-05-20
The First Time Ever I Saw Your Face,Roberta,1972-05-13
A Horse With No Name,America,1972-04-01
Heart Of Gold,Neil,1972-03-11
Without You,Nilsson,1972-03-04
Let's Stay Together,Al,1972-02-05
American Pie (Parts I & II),Don,1972-01-29
Brand New Key,Melanie,1972-01-01
Theme From Shaft,Isaac,1971-11-20
"Gypsys, Tramps & Thieves",Cher,1971-11-06
Maggie May/Reason To Believe,Rod,1971-10-23
Go Away Little Girl,Donny,1971-09-18
Uncle Albert/Admiral Halsey,Paul,1971-08-28
How Can You Mend A Broken Heart,Bee,1971-08-21
You've Got A Friend,James,1971-07-24
Indian Reservation (The Lament Of The Cherokee Reservation Indian),The,1971-07-17
It's Too Late/I Feel The Earth Move,Carole,1971-07-10
Want Ads,The,1971-06-05
Brown Sugar,The,1971-05-29
Joy To The World,Three,1971-05-15
Just My Imagination (Running Away With Me),The,1971-04-03
Me And Bobby McGee,Janis,1971-03-20
One Bad Apple,The,1971-03-06
Knock Three Times,Dawn,1971-01-30
My Sweet Lord/Isn't It A Pity,George,1971-01-09
The Tears Of A Clown,Smokey,1970-12-12
I Think I Love You,The,1970-11-28
Cracklin' Rosie,Neil,1970-10-03
Ain't No Mountain High Enough,Diana,1970-09-26
War,Edwin,1970-09-05
Make It With You,Bread,1970-08-15
(They Long To Be) Close To You,Carpenters,1970-08-08
Mama Told Me (Not To Come),Three,1970-07-11
The Love You Save/I Found That Girl,Jackson,1970-06-27
The Long And Winding Road/For You Blue,The,1970-06-13
Everything Is Beautiful,Ray,1970-05-30
American Woman/No Sugar Tonight,The,1970-05-16
ABC,Jackson,1970-04-25
Let It Be,The,1970-04-11
Bridge Over Troubled Water,Simon,1970-03-28
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly,1970-02-14
I Want You Back,Jackson,1970-01-24
Raindrops Keep Fallin' On My Head,B.J.,1970-01-17
Someday We'll Be Together,Diana,1969-12-20
Leaving On A Jet Plane,"Peter,",1969-12-13
Na Na Hey Hey Kiss Him Goodbye,Steam,1969-12-06
Come Together/Something,The,1969-11-22
Wedding Bell Blues,The,1969-11-15
Suspicious Minds,Elvis,1969-10-25
I Can't Get Next To You,The,1969-10-18
"Sugar, Sugar",The,1969-10-04
Honky Tonk Women,The,1969-09-06
In The Year 2525,Zager,1969-08-09
Love Theme From Romeo & Juliet,Henry,1969-06-28
Get Back,The,1969-06-14
Aquarius/Let The Sunshine In,The,1969-05-10
Dizzy,Tommy,1969-03-29
Everyday People,Sly,1969-03-01
Crimson And Clover,Tommy,1969-02-01
I Heard It Through The Grapevine,Marvin,1969-01-18
Love Child,Diana,1968-11-30
Hey Jude,The,1968-11-16
Harper Valley P.T.A.,Jeannie,1968-09-14
People Got To Be Free,The,1968-09-07
"Hello, I Love You",The,1968-08-03
Grazing In The Grass,Hugh,1968-07-20
This Guy's In Love With You,Herb,1968-07-06
Mrs. Robinson,Simon,1968-06-08
Tighten Up,Archie,1968-05-18
(Sittin' On) The Dock Of The Bay,Otis,1968-03-30
Love Is Blue (L'amour Est Bleu),Paul,1968-03-02
Green Tambourine,The,1968-01-27
Judy In Disguise (With Glasses),John,1968-01-20
Hello Goodbye,The,1968-01-06
Daydream Believer,The,1967-12-16
Incense And Peppermints,Strawberry,1967-11-18
To Sir With Love,Lulu,1967-11-11
The Letter,The,1967-10-07
Ode To Billie Joe,Bobbie,1967-09-09
All You Need Is Love,The,1967-08-12
Light My Fire,The,1967-08-05
Windy,The,1967-07-15
Groovin',The,1967-06-17
Respect,Aretha,1967-06-03
The Happening,The,1967-05-06
Somethin' Stupid,Nancy,1967-04-29
Happy Together,The,1967-04-01
Penny Lane,The,1967-03-11
Love Is Here And Now You're Gone,The,1967-03-04
Ruby Tuesday,The,1967-02-25
Kind Of A Drag,The,1967-02-18
I'm A Believer,The,1967-02-04
Winchester Cathedral,The,1966-12-17
Poor Side Of Town,Johnny,1966-11-05
Last Train To Clarksville,The,1966-10-29
96 Tears,?,1966-10-22
Reach Out I'll Be There,Four,1966-10-15
Cherish,The,1966-10-01
You Can't Hurry Love,The,1966-09-10
Sunshine Superman,Donovan,1966-08-27
Summer In The City,The,1966-08-20
Wild Thing,The,1966-07-30
Hanky Panky,Tommy,1966-07-16
Paperback Writer,The,1966-07-02
Strangers In The Night,Frank,1966-06-25
"Paint It, Black",The,1966-06-11
"Monday, Monday",The,1966-05-14
Good Lovin',The,1966-04-23
(You're My) Soul And Inspiration,The,1966-04-16
The Ballad Of The Green Berets,SSgt,1966-03-26
These Boots Are Made For Walkin',Nancy,1966-02-19
Lightnin' Strikes,Lou,1966-02-12
We Can Work It Out,The,1966-01-22
The Sound Of Silence,Simon,1966-01-15
Over And Over,The,1965-12-18
Turn! Turn! Turn! (To Everything There Is A Season),The,1965-12-11
I Hear A Symphony,The,1965-11-20
Get Off Of My Cloud,The,1965-11-06
Yesterday,The,1965-10-23
Hang On Sloopy,The,1965-09-25
Eve Of Destruction,Barry,1965-09-18
Help!,The,1965-09-11
I Got You Babe,Sonny,1965-08-21
"I'm Henry VIII, I Am",Herman's,1965-07-31
(I Can't Get No) Satisfaction,The,1965-07-24
I Can't Help Myself (Sugar Pie Honey Bunch),Four,1965-06-26
Mr. Tambourine Man,The,1965-06-19
Back In My Arms Again,The,1965-06-05
"Help Me, Rhonda",The,1965-05-29
Ticket To Ride,The,1965-05-15
Mrs. Brown You've Got A Lovely Daughter,Herman's,1965-05-08
Game Of Love,Wayne,1965-04-17
I'm Telling You Now,Freddie,1965-04-10
Stop! In The Name Of Love,The,1965-03-27
Eight Days A Week,The,1965-03-13
My Girl,The,1965-02-27
This Diamond Ring,Gary,1965-02-20
You've Lost That Lovin' Feelin',The,1965-02-06
Downtown,Petula,1965-01-23
Come See About Me,The,1965-01-09
I Feel Fine,The,1965-01-02
Mr. Lonely,Bobby,1964-12-05
Ringo,Lorne,1964-11-28
Leader Of The Pack,The,1964-11-21
Baby Love,The,1964-11-14
Do Wah Diddy Diddy,Manfred,1964-10-17
"Oh, Pretty Woman",Roy,1964-10-03
House Of The Rising Sun,The,1964-09-12
Where Did Our Love Go,The,1964-08-22
Everybody Loves Somebody,Dean,1964-08-08
A Hard Day's Night,The,1964-08-01
Rag Doll,The,1964-07-18
I Get Around,The,1964-07-04
A World Without Love,Peter,1964-06-20
Chapel Of Love,The,1964-06-13
Love Me Do,The,1964-05-23
My Guy,Mary,1964-05-16
"Hello, Dolly!",Louis,1964-05-02
Can't Buy Me Love,The,1964-04-25
She Loves You,The,1964-03-21
I Want To Hold Your Hand,The,1964-03-07
There! I've Said It Again,Bobby,1964-01-18
Dominique,The,1963-12-21
I'm Leaving It Up To You,Dale,1963-11-23
Deep Purple,Nino,1963-11-09
Sugar Shack,Jimmy,1963-11-02
Blue Velvet,Bobby,1963-09-28
My Boyfriend's Back,The,1963-09-07
Fingertips - Pt 2,Little,1963-08-17
So Much In Love,The,1963-07-27
Surf City,Jan,1963-07-20
Easier Said Than Done,The,1963-07-06
Sukiyaki,Kyu,1963-06-22
It's My Party,Lesley,1963-06-01
If You Wanna Be Happy,Jimmy,1963-05-18
I Will Follow Him,Little,1963-05-04
He's So Fine,The,1963-04-13
Our Day Will Come,Ruby,1963-03-16
Walk Like A Man,The,1963-03-09
Hey Paula,Paul,1963-02-16
Walk Right In,The,1963-01-26
Telstar,The,1962-12-29
He's A Rebel,The,1962-11-03
Monster Mash,Bobby,1962-10-20
Sherry,The,1962-10-06
Sheila,Tommy,1962-09-01
Breaking Up Is Hard To Do,Neil,1962-08-11
Roses Are Red (My Love),Bobby,1962-07-28
The Stripper,David,1962-06-30
I Can't Stop Loving You,Ray,1962-06-23
Stranger On The Shore,Mr.,1962-05-19
Soldier Boy,The,1962-05-12
Good Luck Charm,Elvis,1962-04-21
Johnny Angel,Shelley,1962-04-07
Don't Break The Heart That Loves You,Connie,1962-03-24
Hey! Baby,Bruce,1962-03-17
Duke Of Earl,Gene,1962-02-24
Peppermint Twist - Part I,Joey,1962-02-03
The Twist,Chubby,1962-01-13
The Lion Sleeps Tonight,The,1961-12-25
Big Bad John,Jimmy,1961-11-27
Runaround Sue,Dion,1961-10-23
Hit The Road Jack,Ray,1961-10-09
Take Good Care Of My Baby,Bobby,1961-09-25
Michael,The,1961-09-04
Wooden Heart,Joe,1961-08-21
Tossin' And Turnin',Bobby,1961-08-14
Quarter To Three,U.S.,1961-06-26
Moody River,Pat,1961-06-12
Travelin' Man,Ricky,1961-06-05
Running Scared,Roy,1961-05-29
Mother-In-Law,Ernie,1961-05-15
Runaway,Del,1961-05-08
Blue Moon,The,1961-04-10
Surrender,Elvis,1961-03-20
Pony Time,Chubby,1961-03-06
Calcutta,Lawrence,1961-02-13
Will You Love Me Tomorrow,The,1961-01-30
Wonderland By Night,Bert,1961-01-16
Are You Lonesome To-night?,Elvis,1960-12-26
Stay,Maurice,1960-11-14
Georgia On My Mind,Ray,1960-11-07
Save The Last Dance For Me,The,1960-10-31
I Want To Be Wanted,Brenda,1960-10-17
Mr. Custer,Larry,1960-10-03
My Heart Has A Mind Of Its Own,Connie,1960-09-26
It's Now Or Never,Elvis,1960-09-05
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian,1960-08-01
Alley-Oop,Hollywood,1960-07-04
Everybody's Somebody's Fool,Connie,1960-06-27
Cathy's Clown,The,1960-06-13
Stuck On You,Elvis,1960-05-09
"The Theme From ""A Summer Place""",Percy,1960-04-11
Teen Angel,Mark,1960-02-08
Running Bear,Johnny,1960-01-25
El Paso,Marty,1960-01-04
Why,Frankie,1959-12-21
Heartaches By The Number,Guy,1959-12-14
Mack The Knife,Bobby,1959-11-30
Mr. Blue,The,1959-11-09
Sleep Walk,Santo,1959-09-21
The Three Bells,The,1959-09-07
A Big Hunk O' Love,Elvis,1959-08-10
Lonely Boy,Paul,1959-07-27
The Battle Of New Orleans,Johnny,1959-06-29
Kansas City,Wilbert,1959-05-18
The Happy Organ,Dave,1959-05-04
Come Softly To Me,The,1959-04-27
Stagger Lee,Lloyd,1959-02-23
Smoke Gets In Your Eyes,The,1959-01-26
The Chipmunk Song,The,1959-01-05
