Title,Artist,First Name,Date
Jacob's Ladder,Huey Lewis & The News,Huey,1987-03-07
Livin' On A Prayer,Bon Jovi,Bon,1987-02-28
Open Your Heart,Madonna,Madonna,1987-01-31
At This Moment,Billy Vera & The Beaters,Billy,1987-01-24
Shake You Down,Gregory Abbott,Gregory,1987-01-10
Walk Like An Egyptian,The Bangles,The,1987-01-03
The Way It Is,Bruce Hornsby & The Range,Bruce,1986-12-06
The Next Time I Fall,Peter Cetera With Amy Grant,Peter,1986-11-29
You Give Love A Bad Name,Bon Jovi,Bon,1986-11-22
Human,The Human League,The,1986-11-15
Amanda,Boston,Boston,1986-11-08
True Colors,Cyndi Lauper,Cyndi,1986-10-25
When I Think Of You,Janet Jackson,Janet,1986-10-11
Stuck With You,Huey Lewis & The News,Huey,1986-09-27
"Take My Breath Away (Love Theme From ""Top Gun"")",Berlin,Berlin,1986-09-06
Venus,Bananarama,Bananarama,1986-08-30
Higher Love,Steve Winwood,Steve,1986-08-23
Papa Don't Preach,Madonna,Madonna,1986-08-16
"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera,Peter,1986-08-02
Sledgehammer,Peter Gabriel,Peter,1986-07-19
Invisible Touch,Genesis,Genesis,1986-07-12
Holding Back The Years,Simply Red,Simply,1986-07-05
There'll Be Sad Songs (To Make You Cry),Billy Ocean,Billy,1986-06-28
On My Own,Patti LaBelle & Michael McDonald,Patti,1986-06-21
Live To Tell,Madonna,Madonna,1986-05-31
Greatest Love Of All,Whitney Houston,Whitney,1986-05-24
West End Girls,Pet Shop Boys,Pet,1986-05-03
Addicted To Love,Robert Palmer,Robert,1986-04-26
Kiss,Prince And The Revolution,Prince,1986-04-19
Rock Me Amadeus,Falco,Falco,1986-04-05
These Dreams,Heart,Heart,1986-03-15
Sara,Starship,Starship,1986-03-08
Kyrie,Mr. Mister,Mr.,1986-03-01
How Will I Know,Whitney Houston,Whitney,1986-02-15
That's What Friends Are For,Dionne & Friends,Dionne,1986-02-01
"Say You, Say Me",Lionel Richie,Lionel,1986-01-04
Broken Wings,Mr. Mister,Mr.,1985-12-07
Separate Lives,Phil Collins and Marilyn Martin,Phil,1985-11-23
We Built This City,Starship,Starship,1985-11-16
Miami Vice Theme,Jan Hammer,Jan,1985-11-02
Part-Time Lover,Stevie Wonder,Stevie,1985-10-26
Saving All My Love For You,Whitney Houston,Whitney,1985-10-19
Take On Me,a-ha,a-ha,1985-10-12
Oh Sheila,Ready For The World,Ready,1985-10-05
Money For Nothing,Dire Straits,Dire,1985-09-28
St. Elmo's Fire (Man In Motion),John Parr,John,1985-09-07
Shout,Tears For Fears,Tears,1985-08-10
Everytime You Go Away,Paul Young,Paul,1985-07-20
A View To A Kill,Duran Duran,Duran,1985-07-13
Sussudio,Phil Collins,Phil,1985-06-29
Heaven,Bryan Adams,Bryan,1985-06-22
Everybody Wants To Rule The World,Tears For Fears,Tears,1985-06-08
Everything She Wants,Wham!,Wham!,1985-05-25
Don't You (Forget About Me),Simple Minds,Simple,1985-05-11
Crazy For You,Madonna,Madonna,1985-05-04
We Are The World,USA For Africa,USA,1985-04-27
Can't Fight This Feeling,REO Speedwagon,REO,1985-03-16
Careless Whisper,Wham! Featuring George Michael,Wham!,1985-02-23
I Want To Know What Love Is,Foreigner,Foreigner,1985-02-02
Like A Virgin,Madonna,Madonna,1985-01-19
Out Of Touch,Daryl Hall John Oates,Daryl,1984-12-08
Wake Me Up Before You Go-Go,Wham!,Wham!,1984-11-24
Caribbean Queen (No More Love On The Run),Billy Ocean,Billy,1984-11-03
I Just Called To Say I Love You,Stevie Wonder,Stevie,1984-10-20
Let's Go Crazy,Prince And The Revolution,Prince,1984-09-29
Missing You,John Waite,John,1984-09-15
What's Love Got To Do With It,Tina Turner,Tina,1984-09-08
Ghostbusters,Ray Parker Jr.,Ray,1984-08-18
When Doves Cry,Prince,Prince,1984-07-28
The Reflex,Duran Duran,Duran,1984-06-23
Time After Time,Cyndi Lauper,Cyndi,1984-06-09
Let's Hear It For The Boy,Deniece Williams,Deniece,1984-05-26
Against All Odds (Take A Look At Me Now),Phil Collins,Phil,1984-04-28
Footloose,Kenny Loggins,Kenny,1984-04-07
Karma Chameleon,Culture Club,Culture,1984-02-11
Owner Of A Lonely Heart,Yes,Yes,1984-01-21
Say Say Say,Paul McCartney And Michael Jackson,Paul,1984-01-07
All Night Long (All Night),Lionel Richie,Lionel,1983-11-26
Islands In The Stream,Kenny Rogers Duet With Dolly Parton,Kenny,1983-10-29
Total Eclipse Of The Heart,Bonnie Tyler,Bonnie,1983-10-15
Tell Her About It,Billy Joel,Billy,1983-09-17
Maniac,Michael Sembello,Michael,1983-09-10
Sweet Dreams (Are Made Of This),Eurythmics,Eurythmics,1983-08-27
Every Breath You Take,The Police,The,1983-08-20
Flashdance...What A Feeling,Irene Cara,Irene,1983-06-25
Let's Dance,David Bowie,David,1983-05-14
Beat It,Michael Jackson,Michael,1983-05-07
Come On Eileen,Dexy's Midnight Runners,Dexy's,1983-04-16
Billie Jean,Michael Jackson,Michael,1983-04-09
"Baby, Come To Me",Patti Austin A Duet With James Ingram,Patti,1983-02-19
Down Under,Men At Work,Men,1983-02-05
Africa,Toto,Toto,1983-01-29
Maneater,Daryl Hall John Oates,Daryl,1983-01-01
Mickey,Toni Basil,Toni,1982-12-04
Truly,Lionel Richie,Lionel,1982-11-27
Up Where We Belong,Joe Cocker And Jennifer Warnes,Joe,1982-11-13
Who Can It Be Now?,Men At Work,Men,1982-10-23
Jack & Diane,John Cougar,John,1982-10-16
Abracadabra,The Steve Miller Band,The,1982-09-18
Hard To Say I'm Sorry,Chicago,Chicago,1982-09-11
Eye Of The Tiger,Survivor,Survivor,1982-08-21
Don't You Want Me,The Human League,The,1982-07-10
Ebony And Ivory,Paul McCartney And Stevie Wonder,Paul,1982-06-19
Chariots Of Fire - Titles,Vangelis,Vangelis,1982-05-01
I Love Rock 'N Roll,Joan Jett & the Blackhearts,Joan,1982-04-24
Centerfold,The J. Geils Band,The,1982-03-06
I Can't Go For That (No Can Do),Daryl Hall John Oates,Daryl,1982-01-23
Physical,Olivia Newton-John,Olivia,1982-01-16
Private Eyes,Daryl Hall John Oates,Daryl,1981-11-07
Arthur's Theme (Best That You Can Do),Christopher Cross,Christopher,1981-10-24
Endless Love,Diana Ross & Lionel Richie,Diana,1981-10-03
Jessie's Girl,Rick Springfield,Rick,1981-08-01
The One That You Love,Air Supply,Air,1981-07-18
Bette Davis Eyes,Kim Carnes,Kim,1981-07-11
Medley,Stars On 45,Stars,1981-06-13
Morning Train (Nine To Five),Sheena Easton,Sheena,1981-05-02
Kiss On My List,Daryl Hall John Oates,Daryl,1981-04-18
Rapture,Blondie,Blondie,1981-03-28
Keep On Loving You,REO Speedwagon,REO,1981-03-14
9 To 5,Dolly Parton,Dolly,1981-03-07
I Love A Rainy Night,Eddie Rabbitt,Eddie,1981-02-28
Celebration,Kool & The Gang,Kool,1981-02-07
The Tide Is High,Blondie,Blondie,1981-01-24
(Just Like) Starting Over,John Lennon,John,1981-01-17
Lady,Kenny Rogers,Kenny,1980-12-13
Woman In Love,Barbra Streisand,Barbra,1980-11-01
Another One Bites The Dust,Queen,Queen,1980-10-11
Upside Down,Diana Ross,Diana,1980-09-20
Sailing,Christopher Cross,Christopher,1980-08-23
Magic,Olivia Newton-John,Olivia,1980-08-16
It's Still Rock And Roll To Me,Billy Joel,Billy,1980-07-19
Coming Up (Live At Glasgow),Paul McCartney And Wings,Paul,1980-07-05
Funkytown,"Lipps, Inc.","Lipps,",1980-06-14
Call Me,Blondie,Blondie,1980-05-17
Another Brick In The Wall (Part II),Pink Floyd,Pink,1980-04-05
Crazy Little Thing Called Love,Queen,Queen,1980-03-08
Do That To Me One More Time,Captain & Tennille,Captain,1980-02-09
Rock With You,Michael Jackson,Michael,1980-02-02
Escape (The Pina Colada Song),Rupert Holmes,Rupert,1980-01-05
Please Don't Go,KC And The Sunshine Band,KC,1979-12-29
Babe,Styx,Styx,1979-12-08
No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer,Barbra,1979-11-24
Still,Commodores,Commodores,1979-11-10
Heartache Tonight,Eagles,Eagles,1979-11-03
Pop Muzik,M,M,1979-10-27
Rise,Herb Alpert,Herb,1979-10-20
Don't Stop 'til You Get Enough,Michael Jackson,Michael,1979-10-06
Sad Eyes,Robert John,Robert,1979-09-29
My Sharona,The Knack,The,1979-09-22
Good Times,Chic,Chic,1979-08-11
Bad Girls,Donna Summer,Donna,1979-08-04
Ring My Bell,Anita Ward,Anita,1979-06-30
Hot Stuff,Donna Summer,Donna,1979-06-16
Love You Inside Out,Bee Gees,Bee,1979-06-02
Reunited,Peaches & Herb,Peaches,1979-05-19
Heart Of Glass,Blondie,Blondie,1979-04-21
Knock On Wood,Amii Stewart,Amii,1979-04-14
What A Fool Believes,The Doobie Brothers,The,1979-04-07
I Will Survive,Gloria Gaynor,Gloria,1979-03-31
Tragedy,Bee Gees,Bee,1979-03-24
Da Ya Think I'm Sexy?,Rod Stewart,Rod,1979-02-24
Le Freak,Chic,Chic,1979-01-27
Too Much Heaven,Bee Gees,Bee,1979-01-06
You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond,Barbra,1978-12-09
MacArthur Park,Donna Summer,Donna,1978-11-18
You Needed Me,Anne Murray,Anne,1978-10-28
Hot Child In The City,Nick Gilder,Nick,1978-10-21
Kiss You All Over,Exile,Exile,1978-10-14
Boogie Oogie Oogie,A Taste Of Honey,A,1978-09-16
Grease,Frankie Valli,Frankie,1978-08-26
Three Times A Lady,Commodores,Commodores,1978-08-12
Miss You,The Rolling Stones,The,1978-07-29
Shadow Dancing,Andy Gibb,Andy,1978-07-22
You're The One That I Want,John Travolta & Olivia Newton-John,John,1978-06-03
"Too Much, Too Little, Too Late",Johnny Mathis/Deniece Williams,Johnny,1978-05-27
With A Little Luck,Wings,Wings,1978-05-20
If I Can't Have You,Yvonne Elliman,Yvonne,1978-05-06
Night Fever,Bee Gees,Bee,1978-04-29
(Love Is) Thicker Than Water,Andy Gibb,Andy,1978-03-04
Stayin' Alive,Bee Gees,Bee,1978-02-18
Baby Come Back,Player,Player,1978-01-21
How Deep Is Your Love,Bee Gees,Bee,1977-12-31
You Light Up My Life,Debby Boone,Debby,1977-12-10
Star Wars Theme/Cantina Band,Meco,Meco,1977-10-01
Best Of My Love,The Emotions,The,1977-09-17
I Just Want To Be Your Everything,Andy Gibb,Andy,1977-09-10
Looks Like We Made It,Barry Manilow,Barry,1977-07-16
Da Doo Ron Ron,Shaun Cassidy,Shaun,1977-07-09
Undercover Angel,Alan O'Day,Alan,1977-07-02
Gonna Fly Now,Bill Conti,Bill,1977-06-25
Got To Give It Up (Pt. I),Marvin Gaye,Marvin,1977-06-18
Dreams,Fleetwood Mac,Fleetwood,1977-06-11
I'm Your Boogie Man,KC And The Sunshine Band,KC,1977-06-04
Sir Duke,Stevie Wonder,Stevie,1977-05-28
When I Need You,Leo Sayer,Leo,1977-05-07
Hotel California,Eagles,Eagles,1977-04-30
Southern Nights,Glen Campbell,Glen,1977-04-23
Don't Leave Me This Way,Thelma Houston,Thelma,1977-04-16
Don't Give Up On Us,David Soul,David,1977-04-09
Dancing Queen,ABBA,ABBA,1977-04-02
Rich Girl,Daryl Hall John Oates,Daryl,1977-03-26
"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,Barbra,1977-03-12
New Kid In Town,Eagles,Eagles,1977-02-19
Blinded By The Light,Manfred Mann's Earth Band,Manfred,1977-02-12
Torn Between Two Lovers,Mary Macgregor,Mary,1977-02-05
Car Wash,Rose Royce,Rose,1977-01-22
I Wish,Stevie Wonder,Stevie,1977-01-15
You Make Me Feel Like Dancing,Leo Sayer,Leo,1977-01-08
You Don't Have To Be A Star (To Be In My Show),"Marilyn McCoo & Billy Davis, Jr.",Marilyn,1977-01-01
Tonight's The Night (Gonna Be Alright),Rod Stewart,Rod,1976-12-25
Rock'n Me,Steve Miller,Steve,1976-10-30
If You Leave Me Now,Chicago,Chicago,1976-10-23
Disco Duck (Part I),Rick Dees & His Cast Of Idiots,Rick,1976-10-09
A Fifth Of Beethoven,Walter Murphy & The Big Apple Band,Walter,1976-10-02
Play That Funky Music,Wild Cherry,Wild,1976-09-25
"(Shake, Shake, Shake) Shake Your Booty",KC And The Sunshine Band,KC,1976-09-04
You Should Be Dancing,Bee Gees,Bee,1976-08-28
Don't Go Breaking My Heart,Elton John & Kiki Dee,Elton,1976-08-21
Kiss And Say Goodbye,The Manhattans,The,1976-07-24
Afternoon Delight,Starland Vocal Band,Starland,1976-07-10
Silly Love Songs,Wings,Wings,1976-06-26
Love Hangover,Diana Ross,Diana,1976-05-29
Boogie Fever,The Sylvers,The,1976-05-08
Welcome Back,John Sebastian,John,1976-05-01
Let Your Love Flow,Bellamy Brothers,Bellamy,1976-04-24
Disco Lady,Johnnie Taylor,Johnnie,1976-04-17
"December, 1963 (Oh, What a Night)",The 4 Seasons,The,1976-03-20
Love Machine (Part 1),The Miracles,The,1976-02-28
Theme From S.W.A.T.,Rhythm Heritage,Rhythm,1976-02-21
50 Ways To Leave Your Lover,Paul Simon,Paul,1976-02-14
Love Rollercoaster,Ohio Players,Ohio,1976-01-24
Theme From Mahogany (Do You Know Where You're Going To),Diana Ross,Diana,1976-01-17
I Write The Songs,Barry Manilow,Barry,1976-01-10
Convoy,C.W. McCall,C.W.,1976-01-03
Saturday Night,Bay City Rollers,Bay,1975-12-27
Let's Do It Again,The Staple Singers,The,1975-12-20
That's The Way (I Like It),KC And The Sunshine Band,KC,1975-12-13
"Fly, Robin, Fly",Silver Convention,Silver,1975-12-06
Island Girl,Elton John,Elton,1975-11-08
Fame,David Bowie,David,1975-09-27
I'm Sorry,John Denver,John,1975-09-20
Rhinestone Cowboy,Glen Campbell,Glen,1975-09-06
Get Down Tonight,KC And The Sunshine Band,KC,1975-08-23
Fallin' In Love,"Hamilton, Joe Frank & Reynolds","Hamilton,",1975-08-16
Jive Talkin',Bee Gees,Bee,1975-08-09
One Of These Nights,Eagles,Eagles,1975-07-26
The Hustle,Van McCoy And The Soul City Symphony,Van,1975-07-19
Listen To What The Man Said,Wings,Wings,1975-07-12
Love Will Keep Us Together,Captain & Tennille,Captain,1975-07-05
Sister Golden Hair,America,America,1975-06-07
Thank God I'm A Country Boy,John Denver,John,1975-05-31
Before The Next Teardrop Falls,Freddy Fender,Freddy,1975-05-24
Shining Star,"Earth, Wind & Fire","Earth,",1975-05-17
He Don't Love You (Like I Love You),Tony Orlando & Dawn,Tony,1975-05-10
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,B.J.,1975-04-19
Philadelphia Freedom,The Elton John Band,The,1975-04-12
Lovin' You,Minnie Riperton,Minnie,1975-03-29
My Eyes Adored You,Frankie Valli,Frankie,1975-03-15
Black Water,The Doobie Brothers,The,1975-03-08
Have You Never Been Mellow,Olivia Newton-John,Olivia,1975-03-01
Pick Up The Pieces,AWB,AWB,1975-02-15
You're No Good,Linda Ronstadt,Linda,1975-02-08
Fire,Ohio Players,Ohio,1975-02-01
Laughter In The Rain,Neil Sedaka,Neil,1975-01-25
Please Mr. Postman,Carpenters,Carpenters,1975-01-18
Mandy,Barry Manilow,Barry,1975-01-11
Lucy In The Sky With Diamonds,Elton John,Elton,1975-01-04
Angie Baby,Helen Reddy,Helen,1974-12-21
Cat's In The Cradle,Harry Chapin,Harry,1974-12-14
Kung Fu Fighting,Carl Douglas,Carl,1974-12-07
I Can Help,Billy Swan,Billy,1974-11-23
Whatever Gets You Thru The Night,John Lennon With The Plastic Ono Nuclear Band,John,1974-11-09
You Ain't Seen Nothing Yet/Free Wheelin',Bachman-Turner Overdrive,Bachman-Turner,1974-11-02
You Haven't Done Nothin,Stevie Wonder,Stevie,1974-10-26
Then Came You,Dionne Warwicke & Spinners,Dionne,1974-10-19
Nothing From Nothing,Billy Preston,Billy,1974-10-12
I Honestly Love You,Olivia Newton-John,Olivia,1974-10-05
Rock Me Gently,Andy Kim,Andy,1974-09-21
"Can't Get Enough Of Your Love, Babe",Barry White,Barry,1974-09-14
I Shot The Sheriff,Eric Clapton,Eric,1974-09-07
(You're) Having My Baby,Paul Anka with Odia Coates,Paul,1974-08-31
The Night Chicago Died,Paper Lace,Paper,1974-08-10
Feel Like Makin' Love,Roberta Flack,Roberta,1974-08-03
ANNIE's SONG,John Denver,John,1974-07-27
Rock Your Baby,George McCrae,George,1974-07-13
Rock The Boat,The Hues Corporation,The,1974-06-29
Sundown,Gordon Lightfoot,Gordon,1974-06-22
"Billy, Don't Be A Hero",Bo Donaldson And The Heywoods,Bo,1974-06-15
Band On The Run,Paul McCartney And Wings,Paul,1974-06-01
The Streak,Ray Stevens,Ray,1974-05-25
The Loco-Motion,Grand Funk,Grand,1974-05-04
TSOP (The Sound Of Philadelphia),MFSB Featuring The Three Degrees,MFSB,1974-04-20
Bennie And The Jets,Elton John,Elton,1974-04-06
Hooked On A Feeling,Blue Swede,Blue,1974-03-30
Sunshine On My Shoulders,John Denver,John,1974-03-23
Dark Lady,Cher,Cher,1974-03-16
Seasons In The Sun,Terry Jacks,Terry,1974-03-09
The Way We Were,Barbra Streisand,Barbra,1974-02-16
Love's Theme,Love Unlimited Orchestra,Love,1974-02-02
You're Sixteen,Ringo Starr,Ringo,1974-01-19
Show And Tell,Al Wilson,Al,1974-01-12
The Joker,The Steve Miller Band,The,1974-01-05
Time In A Bottle,Jim Croce,Jim,1973-12-29
The Most Beautiful Girl,Charlie Rich,Charlie,1973-12-15
Top Of The World,Carpenters,Carpenters,1973-12-01
Photograph,Ringo Starr,Ringo,1973-11-17
Keep On Truckin' (Part 1),Eddie Kendricks,Eddie,1973-11-10
Midnight Train To Georgia,Gladys Knight And The Pips,Gladys,1973-10-27
Angie,The Rolling Stones,The,1973-10-13
Half-Breed,Cher,Cher,1973-10-06
We're An American Band,Grand Funk,Grand,1973-09-22
Let's Get It On,Marvin Gaye,Marvin,1973-09-15
Delta Dawn,Helen Reddy,Helen,1973-09-08
Brother Louie,Stories,Stories,1973-08-25
Touch Me In The Morning,Diana Ross,Diana,1973-08-11
The Morning After,Maureen McGovern,Maureen,1973-08-04
"Bad, Bad Leroy Brown",Jim Croce,Jim,1973-07-21
Will It Go Round In Circles,Billy Preston,Billy,1973-07-07
Give Me Love - (Give Me Peace On Earth),George Harrison,George,1973-06-23
Frankenstein,Edgar Winter Group,Edgar,1973-05-19
You Are The Sunshine Of My Life,Stevie Wonder,Stevie,1973-05-12
Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn Featuring Tony Orlando,Dawn,1973-05-05
The Night The Lights Went Out In Georgia,Vicki Lawrence,Vicki,1973-04-07
Killing Me Softly With His Song,Roberta Flack,Roberta,1973-03-24
Love Train,The O'Jays,The,1973-03-17
Crocodile Rock,Elton John,Elton,1973-02-10
Superstition,Stevie Wonder,Stevie,1973-01-20
You're So Vain,Carly Simon,Carly,1973-01-13
Me And Mrs. Jones,Billy Paul,Billy,1972-12-23
I Am Woman,Helen Reddy,Helen,1972-12-02
Papa Was A Rollin' Stone,The Temptations,The,1972-11-25
I Can See Clearly Now,Johnny Nash,Johnny,1972-11-18
My Ding-A-Ling,Chuck Berry,Chuck,1972-10-21
Ben,Michael Jackson,Michael,1972-10-07
Baby Don't Get Hooked On Me,Mac Davis,Mac,1972-09-30
Black & White,Three Dog Night,Three,1972-09-09
Alone Again (Naturally),Gilbert O'Sullivan,Gilbert,1972-09-02
Brandy (You're A Fine Girl),Looking Glass,Looking,1972-08-19
Song Sung Blue,Neil Diamond,Neil,1972-06-24
The Candy Man,"Sammy Davis, Jr. with The Mike Curb Congregation",Sammy,1972-06-17
I'll Take You There,The Staple Singers,The,1972-05-27
Oh Girl,The Chi-lites,The,1972-05-20
The First Time Ever I Saw Your Face,Roberta Flack,Roberta,1972-05-13
A Horse With No Name,America,America,1972-04-01
Heart Of Gold,Neil Young,Neil,1972-03-11
Without You,Nilsson,Nilsson,1972-03-04
Let's Stay Together,Al Green,Al,1972-02-05
American Pie (Parts I & II),Don McLean,Don,1972-01-29
Brand New Key,Melanie,Melanie,1972-01-01
Theme From Shaft,Isaac Hayes,Isaac,1971-11-20
"Gypsys, Tramps & Thieves",Cher,Cher,1971-11-06
Maggie May/Reason To Believe,Rod Stewart,Rod,1971-10-23
Go Away Little Girl,Donny Osmond,Donny,1971-09-18
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,Paul,1971-08-28
How Can You Mend A Broken Heart,Bee Gees,Bee,1971-08-21
You've Got A Friend,James Taylor,James,1971-07-24
Indian Reservation (The Lament Of The Cherokee Reservation Indian),The Raiders,The,1971-07-17
It's Too Late/I Feel The Earth Move,Carole King,Carole,1971-07-10
Want Ads,The Honey Cone,The,1971-06-05
Brown Sugar,The Rolling Stones,The,1971-05-29
Joy To The World,Three Dog Night,Three,1971-05-15
Just My Imagination (Running Away With Me),The Temptations,The,1971-04-03
Me And Bobby McGee,Janis Joplin,Janis,1971-03-20
One Bad Apple,The Osmonds,The,1971-03-06
Knock Three Times,Dawn,Dawn,1971-01-30
My Sweet Lord/Isn't It A Pity,George Harrison,George,1971-01-09
The Tears Of A Clown,Smokey Robinson & The Miracles,Smokey,1970-12-12
I Think I Love You,The Partridge Family Starring Shirley Jones Featuring David Cassidy,The,1970-11-28
Cracklin' Rosie,Neil Diamond,Neil,1970-10-03
Ain't No Mountain High Enough,Diana Ross,Diana,1970-09-26
War,Edwin Starr,Edwin,1970-09-05
Make It With You,Bread,Bread,1970-08-15
(They Long To Be) Close To You,Carpenters,Carpenters,1970-08-08
Mama Told Me (Not To Come),Three Dog Night,Three,1970-07-11
The Love You Save/I Found That Girl,Jackson 5,Jackson,1970-06-27
The Long And Winding Road/For You Blue,The Beatles,The,1970-06-13
Everything Is Beautiful,Ray Stevens,Ray,1970-05-30
American Woman/No Sugar Tonight,The Guess Who,The,1970-05-16
ABC,Jackson 5,Jackson,1970-04-25
Let It Be,The Beatles,The,1970-04-11
Bridge Over Troubled Water,Simon & Garfunkel,Simon,1970-03-28
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,Sly,1970-02-14
I Want You Back,Jackson 5,Jackson,1970-01-24
Raindrops Keep Fallin' On My Head,B.J. Thomas,B.J.,1970-01-17
Someday We'll Be Together,Diana Ross & The Supremes,Diana,1969-12-20
Leaving On A Jet Plane,"Peter, Paul & Mary","Peter,",1969-12-13
Na Na Hey Hey Kiss Him Goodbye,Steam,Steam,1969-12-06
Come Together/Something,The Beatles,The,1969-11-22
Wedding Bell Blues,The 5th Dimension,The,1969-11-15
Suspicious Minds,Elvis Presley,Elvis,1969-10-25
I Can't Get Next To You,The Temptations,The,1969-10-18
"Sugar, Sugar",The Archies,The,1969-10-04
Honky Tonk Women,The Rolling Stones,The,1969-09-06
In The Year 2525,Zager & Evans,Zager,1969-08-09
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,Henry,1969-06-28
Get Back,The Beatles With Billy Preston,The,1969-06-14
Aquarius/Let The Sunshine In,The 5th Dimension,The,1969-05-10
Dizzy,Tommy Roe,Tommy,1969-03-29
Everyday People,Sly & The Family Stone,Sly,1969-03-01
Crimson And Clover,Tommy James And The Shondells,Tommy,1969-02-01
I Heard It Through The Grapevine,Marvin Gaye,Marvin,1969-01-18
Love Child,Diana Ross & The Supremes,Diana,1968-11-30
Hey Jude,The Beatles,The,1968-11-16
Harper Valley P.T.A.,Jeannie C. Riley,Jeannie,1968-09-14
People Got To Be Free,The Rascals,The,1968-09-07
"Hello, I Love You",The Doors,The,1968-08-03
Grazing In The Grass,Hugh Masekela,Hugh,1968-07-20
This Guy's In Love With You,Herb Alpert,Herb,1968-07-06
Mrs. Robinson,Simon & Garfunkel,Simon,1968-06-08
Tighten Up,Archie Bell & The Drells,Archie,1968-05-18
(Sittin' On) The Dock Of The Bay,Otis Redding,Otis,1968-03-30
Love Is Blue (L'amour Est Bleu),Paul Mauriat And His Orchestra,Paul,1968-03-02
Green Tambourine,The Lemon Pipers,The,1968-01-27
Judy In Disguise (With Glasses),John Fred And The Playboys,John,1968-01-20
Hello Goodbye,The Beatles,The,1968-01-06
Daydream Believer,The Monkees,The,1967-12-16
Incense And Peppermints,Strawberry Alarm Clock,Strawberry,1967-11-18
To Sir With Love,Lulu,Lulu,1967-11-11
The Letter,The Box Tops,The,1967-10-07
Ode To Billie Joe,Bobbie Gentry,Bobbie,1967-09-09
All You Need Is Love,The Beatles,The,1967-08-12
Light My Fire,The Doors,The,1967-08-05
Windy,The Association,The,1967-07-15
Groovin',The Young Rascals,The,1967-06-17
Respect,Aretha Franklin,Aretha,1967-06-03
The Happening,The Supremes,The,1967-05-06
Somethin' Stupid,Nancy Sinatra & Frank Sinatra,Nancy,1967-04-29
Happy Together,The Turtles,The,1967-04-01
Penny Lane,The Beatles,The,1967-03-11
Love Is Here And Now You're Gone,The Supremes,The,1967-03-04
Ruby Tuesday,The Rolling Stones,The,1967-02-25
Kind Of A Drag,The Buckinghams,The,1967-02-18
I'm A Believer,The Monkees,The,1967-02-04
Winchester Cathedral,The New Vaudeville Band,The,1966-12-17
Poor Side Of Town,Johnny Rivers,Johnny,1966-11-05
Last Train To Clarksville,The Monkees,The,1966-10-29
96 Tears,? (Question Mark) & The Mysterians,?,1966-10-22
Reach Out I'll Be There,Four Tops,Four,1966-10-15
Cherish,The Association,The,1966-10-01
You Can't Hurry Love,The Supremes,The,1966-09-10
Sunshine Superman,Donovan,Donovan,1966-08-27
Summer In The City,The Lovin' Spoonful,The,1966-08-20
Wild Thing,The Troggs,The,1966-07-30
Hanky Panky,Tommy James And The Shondells,Tommy,1966-07-16
Paperback Writer,The Beatles,The,1966-07-02
Strangers In The Night,Frank Sinatra,Frank,1966-06-25
"Paint It, Black",The Rolling Stones,The,1966-06-11
"Monday, Monday",The Mamas & The Papas,The,1966-05-14
Good Lovin',The Young Rascals,The,1966-04-23
(You're My) Soul And Inspiration,The Righteous Brothers,The,1966-04-16
The Ballad Of The Green Berets,SSgt Barry Sadler,SSgt,1966-03-26
These Boots Are Made For Walkin',Nancy Sinatra,Nancy,1966-02-19
Lightnin' Strikes,Lou Christie,Lou,1966-02-12
We Can Work It Out,The Beatles,The,1966-01-22
The Sound Of Silence,Simon & Garfunkel,Simon,1966-01-15
Over And Over,The Dave Clark Five,The,1965-12-18
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,The,1965-12-11
I Hear A Symphony,The Supremes,The,1965-11-20
Get Off Of My Cloud,The Rolling Stones,The,1965-11-06
Yesterday,The Beatles,The,1965-10-23
Hang On Sloopy,The McCoys,The,1965-09-25
Eve Of Destruction,Barry McGuire,Barry,1965-09-18
Help!,The Beatles,The,1965-09-11
I Got You Babe,Sonny & Cher,Sonny,1965-08-21
"I'm Henry VIII, I Am",Herman's Hermits,Herman's,1965-07-31
(I Can't Get No) Satisfaction,The Rolling Stones,The,1965-07-24
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,Four,1965-06-26
Mr. Tambourine Man,The Byrds,The,1965-06-19
Back In My Arms Again,The Supremes,The,1965-06-05
"Help Me, Rhonda",The Beach Boys,The,1965-05-29
Ticket To Ride,The Beatles,The,1965-05-15
Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,Herman's,1965-05-08
Game Of Love,Wayne Fontana & The Mindbenders,Wayne,1965-04-17
I'm Telling You Now,Freddie And The Dreamers,Freddie,1965-04-10
Stop! In The Name Of Love,The Supremes,The,1965-03-27
Eight Days A Week,The Beatles,The,1965-03-13
My Girl,The Temptations,The,1965-02-27
This Diamond Ring,Gary Lewis And The Playboys,Gary,1965-02-20
