Title,Year,Actors,Characters
Mary Poppins,1964,"['Julie', 'Dick', 'David', 'Glynis']",['Mary']
The Sound of Music,1965,"['Julie', 'Christopher', 'Eleanor', 'Richard']","['Liesl', 'Rolf', 'Gretl', 'Louise', 'Max', 'Kurt']"
The Bible: In the Beginning,1966,"['Michael', 'Ulla', 'Richard', 'John']",
Hawaii,1966,"['Manuel', 'Mateo', 'Luz', 'Antonia']",
Who's Afraid of Virginia Woolf?,1966,"['Elizabeth', 'Richard', 'George', 'Sandy']",['Virginia']
The Jungle Book,1967,"['Neel', 'Bill', 'Ben', 'Idris']","['Mowgli', 'Baloo']"
The Graduate,1967,"['Anne', 'Dustin', 'Katharine', 'William']",
2001: A Space Odyssey,1968,"['Keir', 'Gary', 'William', 'Daniel']",
Funny Girl,1968,"['Barbra', 'Omar', 'Kay', 'Anne']",
Butch Cassidy and the Sundance Kid,1969,"['Paul', 'Robert', 'Katharine', 'Strother']",['Butch']
Love Story,1970,"['Ali', 'Ryan', 'John', 'Ray']",
Airport,1970,"['Burt', 'Dean', 'Jean', 'Jacqueline']",
The French Connection,1971,"['Gene', 'Fernando', 'Roy', 'Tony']",
Fiddler on the Roof,1971,"['Topol', 'Norma', 'Leonard', 'Molly']",
Diamonds Are Forever,1971,"['Sean', 'Jill', 'Charles', 'Lana']",
The Godfather,1972,"['Marlon', 'Al', 'James', 'Richard']",
The Exorcist,1973,"['Ellen', 'Max', 'Lee', 'Kitty']",
The Sting,1973,"['Paul', 'Robert', 'Robert', 'Charles']",
The Towering Inferno,1974,"['Steve', 'Paul', 'William', 'Faye']",
Blazing Saddles,1974,"['Cleavon', 'Gene', 'Slim', 'Harvey']",
Jaws,1975,"['Roy', 'Robert', 'Richard', 'Lorraine']",
Rocky,1976,"['Sylvester', 'Talia', 'Burt', 'Carl']",['Rocky']
Star Wars,1977,"['Mark', 'Harrison', 'Carrie', 'Peter']","['Luke', 'Leia', 'Han', 'Anakin', 'Ben']"
Grease,1978,"['John', 'Olivia', 'Stockard', 'Jeff']",
Moonraker,1979,"['Roger', 'Lois', 'Michael', 'Richard']",
Rocky II,1979,"['Sylvester', 'Talia', 'Burt', 'Carl']",['Rocky']
The Empire Strikes Back,1980,"['Mark', 'Harrison', 'Carrie', 'Billy']","['Luke', 'Leia', 'Han', 'Anakin', 'Ben']"
Raiders of the Lost Ark,1981,"['Harrison', 'Karen', 'Paul', 'Ronald']","['Indiana', 'Jones']"
E.T. the Extra-Terrestrial,1982,"['Dee', 'Henry', 'Peter', 'Robert']",
Return of the Jedi,1983,"['Mark', 'Harrison', 'Carrie', 'Billy']","['Luke', 'Leia', 'Han', 'Anakin', 'Ben']"
Indiana Jones and the Temple of Doom,1984,"['Harrison', 'Kate', 'Jonathan', 'Amrish']","['Indiana', 'Jones']"
Back to the Future,1985,"['Michael', 'Christopher', 'Lea', 'Crispin']","['Marty', 'Emmett']"
Top Gun,1986,"['Tom', 'Kelly', 'Val', 'Anthony']","['Nick', 'Tom', 'Charlotte', 'Pete']"
Fatal Attraction,1987,"['Michael', 'Glenn', 'Anne', 'Ellen']",
